﻿Kód;Název ulice;Kód Obce;Název Obce;Kód Okresu;Název Okresu
442666;Adamovská;554782;Praha;3100;Hlavní město Praha
442674;Africká;554782;Praha;3100;Hlavní město Praha
442682;Akátová;554782;Praha;3100;Hlavní město Praha
442691;Aksamitova;554782;Praha;3100;Hlavní město Praha
442704;Albánská;554782;Praha;3100;Hlavní město Praha
442712;Albertov;554782;Praha;3100;Hlavní město Praha
442721;Aldašínská;554782;Praha;3100;Hlavní město Praha
442739;Tálínská;554782;Praha;3100;Hlavní město Praha
442747;Aloisovská;554782;Praha;3100;Hlavní město Praha
442755;Bakovská;554782;Praha;3100;Hlavní město Praha
442763;K Drsnici;554782;Praha;3100;Hlavní město Praha
442771;Kolářova;554782;Praha;3100;Hlavní město Praha
442780;Ke hrádku;554782;Praha;3100;Hlavní město Praha
442798;Alšovo nábřeží;554782;Praha;3100;Hlavní město Praha
442801;Alšovy sady;554782;Praha;3100;Hlavní město Praha
442810;Altajská;554782;Praha;3100;Hlavní město Praha
442828;Alžírská;554782;Praha;3100;Hlavní město Praha
442836;Ambrožova;554782;Praha;3100;Hlavní město Praha
442844;Americká;554782;Praha;3100;Hlavní město Praha
442852;Amurská;554782;Praha;3100;Hlavní město Praha
442861;Andrštova;554782;Praha;3100;Hlavní město Praha
442879;Anenská;554782;Praha;3100;Hlavní město Praha
442887;Anenské náměstí;554782;Praha;3100;Hlavní město Praha
442895;Anežská;554782;Praha;3100;Hlavní město Praha
442909;Anglická;554782;Praha;3100;Hlavní město Praha
442917;Angolská;554782;Praha;3100;Hlavní město Praha
442925;Anhaltova;554782;Praha;3100;Hlavní město Praha
442933;Antonínská;554782;Praha;3100;Hlavní město Praha
442941;Apolinářská;554782;Praha;3100;Hlavní město Praha
442950;Arabská;554782;Praha;3100;Hlavní město Praha
442968;Nad Belárií;554782;Praha;3100;Hlavní město Praha
442976;U boroviček;554782;Praha;3100;Hlavní město Praha
442984;Majerové;554782;Praha;3100;Hlavní město Praha
442992;Arbesovo náměstí;554782;Praha;3100;Hlavní město Praha
443018;Arménská;554782;Praha;3100;Hlavní město Praha
443026;Archangelská;554782;Praha;3100;Hlavní město Praha
443034;Argentinská;554782;Praha;3100;Hlavní město Praha
443042;Azalková;554782;Praha;3100;Hlavní město Praha
443051;K vyhlídce;554782;Praha;3100;Hlavní město Praha
443069;Baarova;554782;Praha;3100;Hlavní město Praha
