Rozdělení míst pro prodej zboží       a poskyto-vání služeb§ 1,Městská částhlavního města Prahy,Adresa místa§ 1 odst. 1,Počet prodej-ních míst a velikost prostoru (záboru) v m2(min. 2 m2)§ 3odst. 1,Prodejní doba§ 4,Doba provozu§ 4,Druh prodávaného zboží nebo poskytované služby§ 2
TRŽNICE,Praha 4,"Podolské nábřeží u č. 3/1184, parc.č. 1130, 1131/1, 1132, 1133/1, 1133/2,  vše k.ú. Podolí (areál Žlutých lázní)",15033 456 m2,00.00-24.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže, ovoce, zelenina, ekologické zemědělské výpěstky, biopotraviny, lesní plody, okrasné rostliny a dřeviny, potřeby pro zahrádkáře, upomínkové předměty, pohledy, plány, mapy, knihy, tisk, kancelářské potřeby, drobné kuřácké potřeby, textil, textilní a kožená galanterie, obuv, drogerie, kosmetika, keramika, klenoty a bižuterie, chovatelské potřeby, dřevěné výrobky, zvukové a zvukově obrazové záznamy, balené potraviny, potraviny živočišného původu, pečivo, cukrovinky, zmrzlina, sklo, porcelán, nářadí a potřeby pro domácnost, sportovní zboží, čištění obuvi, broušení nožů a nůžek, sluneční brýle, půjčování nemotorových dopravních prostředků (šlapacích aut, odrážedel, bruslí, koloběžek apod.), velikonoční, mikulášské, vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.farmářské trhy - produkty lidových uměleckých řemesel z proutí, šustí a dřeva (v části plochy tržnice)."
TRŽNICE,Praha 7,"Holešovická tržnice, Bubenské nábř. 306,    parc. č. 1188, 1189, 1190, k.ú. Holešovice",450 4 000 m2,po-pá6.00-19.00so6.00-13.00,celoročněpříležitostně,"květiny a doplňkový sortiment, který se ke květinám váže, ovoce, zelenina, ekologické zemědělské výpěstky, biopotraviny, lesní plody, okrasné rostliny a dřeviny, potřeby pro zahrádkáře, upomínkové předměty, pohledy, plány, mapy, knihy, tisk, jízdenky MHD, telefonní karty, ceniny, kancelářské potřeby,  drobné kuřácké potřeby,  textil, textilní a kožená galanterie, obuv, drogerie, kosmetika, bytové doplňky, elektrospotřebiče, elektronika, keramika, klenoty       a bižuterie, chovatelské potřeby, prodej živých zvířat vč. krmiva, hračky, motorová vozidla             a  příslušenství, potřeby             pro motoristy, dřevěné výrobky, zvukové a zvukově obrazové záznamy, balené potraviny, potraviny živočišného původu, pečivo, cukrovinky, zmrzlina, kuchyňské potřeby, sklo, porcelán, nářadí a potřeby         pro domácnost, sportovní zboží, čištění peří a obuvi,  broušení nožů a nůžek, sluneční brýle, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.farmářské trhyprodukty lidových uměleckých řemesel  z proutí, šustí a dřeva (v části plochy tržnice)"
TRŽNICE,Praha 7,Výstaviště – areál,3 700 m2,,celoročně,"květiny, ovoce, zelenina, upomínkové předměty, pohledy, plány, mapy, knihy, tisk, jízdenky MHD, telefonní karty, ceniny, nealkoholické nápoje, textil, textilní a kožená galanterie, bižuterie, hračky, dřevěné výrobky, potřeby pro motoristy, zvukové a zvukově obrazové záznamy, balené potraviny, pečivo, cukrovinky, zmrzlina, keramika, sluneční brýle, občerstvení (stravovací služby), nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., půjčování nemotorových dopravních prostředků (šlapacích aut, odrážedel a koloběžek)"
TRŽNICE,Praha 8,"Dolejškova u č. 1, areál objektu Akademie věd ČR,  parc. č. 4054/13, 4054/14, 4054/9, k. ú. Libeň",501 100 m2,8.00-20.00,celoročněpříležitostně1 měsíc před Velikonoce-mi25. 11. -24. 12.,"ovoce, zelenina, květiny             a sortiment, který                       se ke květinám váže, ekologické zemědělské výpěstky, biopotraviny, balené potraviny, potraviny živočišného původu, pečivo, cukrovinky, zmrzlina, lesní plody, potřeby                 pro zahrádkáře, drobné kuřácké potřeby, textil, oděvy, textilní     a kožená galanterie, obuv, tašky, batohy, drogerie, kosmetika, chovatelské potřeby, prodej živých zvířat vč. krmiva, hračky, dřevěné výrobky, hobby potřeby, výrobky uměleckých řemesel,  občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.velikonoční zboží mikulášské a vánoční zboží"
TRŽNICE,Praha 8,"Zenklova, dvůr v č. 13/252, parc. č. 3640, 3641,k. ú. Libeň",9400 m2,,celoročně,"ovoce, zelenina, tisk, potraviny, drogerie, parfumerie, textilní         a kožená galanterie, obuv, potřeby pro domácnost,  hobby potřeby (drobné řemeslné a kutilské potřeby), chovatelské potřeby, elektronika, zvukové a zvukově obrazové záznamy"
TRŽNICE,Praha 10,"Průběžná u č. 42/180,parc. č. 215, k. ú. Strašnice",10900 m2,po-ne8.00-19.00,celoročně,"květiny, zelenina, pizzerie, drogerie, textil, textilní galanterie, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽIŠTĚ,Praha 1,"Dvořákovo nábřeží – náplavka parc. č. 1006, k.ú. Staré Město",60650 m2,so – ne 8.00 – 22.00,příležitostně21 dní před velikonoční-mi svátky – 31.10.,"farmářské trhyoriginální autorské šperky a oblečení, malby, dřevěné výrobky, antik a použité věci (knihy, hudební nosiče, drobný nábytek), keramika, občerstvení, nápoje včetně alkoholických kromě lihovin ve smyslu § 132 písm. f) zákona č. 353/2003Sb., o spotřebních daních ve znění zákona č.217/2005 Sb."
TRŽIŠTĚ,Praha 1,"Havelský trh, Havelská     od č. 1/512 – 20/514",86            10     celkem 574 m2,po-ne7.00-21.30po-ne7.00 – 21.30po-ne7.00 –21.30,celoročněceloročněpříležitostně30.11.- 10.1.celoročně,"květiny, ovoce, zelenina, upomínkové předměty,  pohlednice, knihy, balené potraviny, lesní plody, houby,  doma vyráběné nebo zpracované užitkové předměty (drobné výrobky ze dřeva, keramiky, kůže, kovu, cínu,  mosazi, smaltu, vosku,  sádry, včetně bižuterie),   obrázky, dřevěné hračky včetně loutek, drogerie (kromě barev, laků a ředidel), textil (pletený, háčkovaný, tkaný, drhaný, paličkovaný a vyšívaný včetně doplňků a dekoračních předmětů),  sadba, semenaobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.  nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb. farmářský trh (v části plochy tržiště)"
TRŽIŠTĚ,Praha 1,"Havlíčkova - Na Florenci, roh ulic, u Masarykova nádraží",860 m2,,celoročně,"farmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřeva, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽIŠTĚ,Praha 1,Karlův most,110,po-ne8.00-22.00,celoročně,původní autorská tvorba a umělecké produkce vybrané odbornou komisí
